game_id,team_id,player_id,first_name,last_name,jersey_number,position,role
171073,1386,58149,Marco,Kasper,92,F,
171073,1386,58151,Dylan,Larkin,71,F,
171073,1386,58152,Michael,Rasmussen,27,F,
171073,1386,58153,J.T.,Compher,37,F,
171073,1386,58154,Carter,Mazur,34,F,
171073,1386,46063,Mason,Appleton,22,F,
171073,1386,58155,David,Perron,57,F,
171073,1386,58156,Lucas,Raymond,23,F,
171073,1386,56743,Ben,Chiarot,8,D,
171073,1386,58165,Albert,Johansson,20,D,
171073,1386,58157,James,van Riemsdyk,21,F,
171073,1386,58158,Austin,Watson,24,F,
171073,1386,58166,Moritz,Seider,53,D,
171073,1386,58159,Alex,DeBrincat,93,F,
171073,1386,58168,Michal,Postava,35,G,
171073,1386,58169,Cam,Talbot,39,G,
171065,1382,48374,Darren,Raddysh,43,D,
171065,1382,46480,Philippe,Myers,51,D,
171065,1382,46478,Cole,McWard,4,D,
171065,1382,43282,Jake,McCabe,22,D,
171065,1382,53429,Chris,Tanev,8,D,
171065,1382,48376,Morgan,Rielly,44,D,
171065,1382,49377,Troy,Stecher,28,D,
171065,1382,47489,Matthew,Knies,23,C,
171065,1382,46485,Max,Domi,11,RW,
171065,1382,46492,Steven,Lorentz,18,RW,
171065,1382,46491,Vinni,Lettieri,95,C,
171065,1382,46151,Teddy,Blueger,31,C,
171065,1382,46489,Dakota,Joshua,81,LW,
171065,1382,47480,John,Tavares,91,LW,
171065,1382,46488,Calle,Jarnkrok,19,C,
171065,1382,48377,William,Nylander,88,LW,
171065,1382,47488,Ryan,Tverberg,77,LW,
171065,1382,46495,Auston,Matthews,34,RW,
171065,1382,46486,Bo,Groulx,29,LW,
171065,1382,52869,Henrik,Rybinski,58,RW,
171065,1382,47493,Anthony,Stolarz,41,G,
171065,1382,48281,Joseph,Woll,60,G,
171065,1384,39432,Mackenzie,Blackwood,39,G,
171065,1384,43763,Alex,Gagne,45,D,
171065,1384,43733,Brent,Burns,84,D,
171065,1384,46050,Josh,Manson,42,D,
171065,1384,45818,Sam,Malinski,70,D,
171065,1384,43964,Cale,Makar,8,D,
171065,1384,47829,Devon,Toews,7,D,
171065,1384,44621,Gabriel,Landeskog,92,F,
171065,1384,39429,Zakhar,Bardakov,93,F,
171065,1384,41860,Parker,Kelly,17,F,
171065,1384,39436,Alex,Barre-Boulet,27,F,
171065,1384,39546,Gavin,Brindley,54,F,
171065,1384,44567,T.J.,Tynan,9,F,
171065,1384,43966,Martin,Necas,88,F,
171065,1384,43762,Nathan,MacKinnon,29,F,
171065,1384,44473,Brock,Nelson,11,F,
171065,1384,45310,Artturi,Lehkonen,62,F,
171065,1384,39574,Vinnie,Hinostroza,32,F,
171065,1384,38046,Nick,Blankenburg,37,D,
171065,1384,40764,Nazem,Kadri,91,F,
171065,1384,44548,Nicolas,Roy,10,F,
171065,1384,46002,Scott,Wedgewood,41,G,
